projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
pca,74,0.95,3,20,euclidean,stratified,0.9857,0.9858266301109012,0.9857,0.9857112828675269,0.628
pca,69,0.95,5,20,euclidean,balanced,0.9869,0.9870650657015696,0.9869,0.9869207657664835,0.621
random,68,0.95,3,20,euclidean,balanced,0.9858,0.9860000373515655,0.9858,0.9858259013756576,0.104
random,71,0.95,5,20,euclidean,balanced,0.9866,0.9868016492013963,0.9866,0.9866220539071275,0.126
random,50,0.95,5,20,euclidean,stratified,0.9841,0.984404044090422,0.9841,0.9841426956399824,0.131
pca,77,0.95,3,20,euclidean,balanced,0.9864,0.9865311450048266,0.9864,0.9864138816242166,0.708
pca,70,0.95,5,17,euclidean,balanced,0.9867,0.9868457786511415,0.9867,0.986714000183718,0.541
pca,67,0.95,5,20,euclidean,stratified,0.9864,0.9865489011578212,0.9864,0.9864189346384615,0.639
pca,76,0.95,5,20,euclidean,balanced,0.9864,0.9865697173768786,0.9864,0.9864183053334767,0.677
pca,86,0.95,3,20,euclidean,balanced,0.9859,0.9860582373812086,0.9859,0.9859184091752995,0.618
pca,81,0.95,3,15,euclidean,stratified,0.9863,0.9864272869996213,0.9863,0.9863149469138747,0.45
pca,69,0.95,5,20,euclidean,balanced,0.9869,0
random,57,0.95,4,15,euclidean,stratified,0.9835,0.9839639381743122,0.9835,0.9835528374221513,0.091
random,98,0.95,4,10,euclidean,stratified,0.9837,0.9841566629197143,0.9837,0.9837449139422916,0.086
random,71,0.95,3,15,euclidean,stratified,0.9856,0.9858703023420076,0.9856,0.9856412044933708,0.108
random,89,0.95,3,14,euclidean,stratified,0.9867,0.9869198490497354,0.9867,0.9867289279783515,0.101
random,53,0.95,3,11,euclidean,stratified,0.9823,0.9826818414269742,0.9823,0.9823304467885029,0.043
random,72,0.95,3,16,euclidean,stratified,0.9843,0.9845909131018509,0.9843,0.984336355919414,0.099
random,65,0.95,4,16,euclidean,stratified,0.9843,0.9846950957688819,0.9843,0.9843452511546212,0.073
random,94,0.95,4,19,euclidean,stratified,0.9854,0.9856591473036586,0.9854,0.9854258718023277,0.163
random,69,0.95,3,13,euclidean,stratified,0.9844,0.9847083724229606,0.9844,0.9844362395874754,0.083
random,90,0.95,3,11,euclidean,stratified,0.985,0.9852300110128517,0.985,0.9850178060570924,0.089
random,90,0.95,3,11,euclidean,stratified,0.9843,0.9845502038143453,0.9843,0.9843268805911323,0.059
random,89,0.95,3,14,euclidean,stratified,0.9849,0.9851516500353801,0.9849,0.9849302875422187,0.108
random,74,0.95,4,10,euclidean,stratified,0.9828,0.9832328525212927,0.9828,0.9828450668488825,0.063
random,89,0.95,3,14,euclidean,stratified,0.9859,0.9861122234176862,0.9859,0.9859321727798928,0.066
random,65,0.95,4,15,euclidean,stratified,0.9836,0.9840119675390869,0.9836,0.9836522755968317,0.081
random,87,0.95,3,16,euclidean,stratified,0.9866,0.9867643477523547,0.9866,0.9866140820874388,0.117
random,90,0.95,3,12,euclidean,stratified,0.9847,0.9849139631486125,0.9847,0.9847232685129178,0.104
random,92,0.95,4,17,euclidean,stratified,0.9846,0.9849461719091711,0.9846,0.9846293665826888,0.115
random,54,0.95,3,13,euclidean,stratified,0.9827,0.9829430276774025,0.9827,0.9827313183654937,0.037
random,54,0.95,4,18,euclidean,stratified,0.9829,0.9834553704524424,0.9829,0.9829648962461514,0.096
random,78,0.95,4,17,euclidean,stratified,0.9842,0.9846181420321792,0.9842,0.9842543135916503,0.096
random,75,0.95,4,10,euclidean,stratified,0.982,0.9825309323806829,0.982,0.982055419679144,0.051
