projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
pca,88,0.9,3,20,euclidean,oob,0.7630922693266833,0.7485305702408982,0.7630922693266833,0.7498330130149424,0.054
random,92,0.99,3,18,cosine,stratified,0.7930174563591023,0.7796342089088858,0.7930174563591023,0.7727194003062932,0.027
random,91,0.9,3,15,cosine,stratified,0.7825436408977556,0.7651002143394148,0.7825436408977556,0.7618874810982708,0.02
random,92,0.99,3,17,cosine,smote,0.6997506234413965,0.7915343294445727,0.6997506234413965,0.7257697383671688,0.101
pca,92,0.9,3,21,cosine,stratified,0.7725685785536159,0.7635607386900435,0.7725685785536159,0.7634050692549974,0.075
random,91,0.99,5,21,euclidean,stratified,0.7675810473815461,0.7447032347784917,0.7675810473815461,0.7338794754069332,0.049
pca,88,0.9,3,15,manhattan,stratified,0.7880299251870324,0.7722291739460116,0.7880299251870324,0.7707766881902969,0.047
random,89,0.9323625122794486,3,13,euclidean,stratified,0.7860349127182045,0.769272738008249,0.7860349127182045,0.7647114983208045,0.026
random,88,0.9255410557115166,5,13,cosine,stratified,0.772069825436409,0.7524152475504012,0.772069825436409,0.741966211596182,0.026
random,86,0.99,3,15,euclidean,stratified,0.7840399002493765,0.7680154908422848,0.7840399002493765,0.7625357351541836,0.006
pca,87,0.9,3,14,euclidean,oob,0.774064837905237,0.7634271019366181,0.774064837905237,0.7630007732579698,0.045
pca,85,0.9,4,17,cosine,stratified,0.7655860349127181,0.7604837583896387,0.7655860349127181,0.7586744549238054,0.069
random,86,0.99,3,12,manhattan,stratified,0.7880299251870324,0.770077379969377,0.7880299251870324,0.7663436560024433,0.015
pca,85,0.9,5,12,euclidean,stratified,0.7576059850374065,0.7331611186665812,0.7576059850374065,0.7350351120105536,0.028
pca,88,0.99,3,10,cosine,stratified,0.7670822942643392,0.7613237811797247,0.7670822942643392,0.7614754499223024,0.079
random,84,0.99,3,11,cosine,oob,0.7800498753117207,0.7619938025901888,0.7800498753117207,0.7590910347774814,0.029
random,56,0.9350422809339763,3,12,euclidean,stratified,0.7865336658354115,0.7734767190404326,0.7865336658354115,0.7649001892700511,0.018
random,56,0.9666475740590642,3,10,euclidean,smote,0.6788029925187032,0.7984448386284221,0.6788029925187032,0.7090848754049568,0.04
random,55,0.948902805836928,3,14,euclidean,stratified,0.7830423940149626,0.766803367885948,0.7830423940149626,0.7598534279596418,0.021
random,55,0.9,5,13,euclidean,stratified,0.7680798004987531,0.7462166969349646,0.7680798004987531,0.7315403608996961,0.017
random,90,0.9,3,19,cosine,stratified,0.7925187032418952,0.7777623311642023,0.7925187032418952,0.7724177236018368,0.056
random,91,0.99,3,19,euclidean,stratified,0.7855361596009975,0.7687898314420661,0.7855361596009975,0.764556610832743,0.047
random,83,0.99,3,10,cosine,stratified,0.7775561097256858,0.7607471237066015,0.7775561097256858,0.7546701341271321,0.026
random,83,0.99,3,13,cosine,stratified,0.7835411471321696,0.7650115952944089,0.7835411471321696,0.7637968474404756,0.043
random,80,0.99,3,12,cosine,oob,0.7790523690773067,0.7612873265120564,0.7790523690773067,0.7581213659749545,0.023
random,82,0.99,3,14,euclidean,oob,0.7825436408977556,0.7636786174581022,0.7825436408977556,0.7621966211540294,0.029
random,80,0.99,3,14,euclidean,stratified,0.7920199501246883,0.77683020045612,0.7920199501246883,0.7737014716959625,0.031
random,80,0.99,3,16,cosine,bootstrap,0.7885286783042394,0.7742452866271079,0.7885286783042394,0.7673626699123629,0.028
random,79,0.99,4,15,euclidean,oob,0.7815461346633417,0.7683781110733499,0.7815461346633417,0.7654336613293087,0.022
random,78,0.9012007709143368,3,14,cosine,stratified,0.7795511221945137,0.7615535041348167,0.7795511221945137,0.7567016519593935,0.025
random,79,0.9,3,17,euclidean,stratified,0.7865336658354115,0.7733441502421813,0.7865336658354115,0.764486599780195,0.038
