projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
random,93,0.9550667605250142,4,20,euclidean,stratified,0.8012820512820513,0.797172912557528,0.8012820512820513,0.7988924655591322,0.028
random,128,0.946281099457225,5,19,euclidean,stratified,0.8141025641025641,0.8055721195256079,0.8141025641025641,0.7996338962522538,0.033
random,56,0.9869068829767104,3,13,manhattan,oob,0.8141025641025641,0.8055721195256079,0.8141025641025641,0.7996338962522538,0.017
random,94,0.9445659219100143,5,23,manhattan,stratified,0.8141025641025641,0.8133903133903134,0.8141025641025641,0.7909587066213573,0.033
random,81,0.9492039251408951,9,23,euclidean,bootstrap,0.7692307692307693,0.7583965330444203,0.7692307692307693,0.7241586538461539,0.03
random,139,0.9829686811520805,9,28,euclidean,bootstrap,0.7948717948717948,0.7830710955710956,0.7948717948717948,0.7744044573312866,0.048
random,88,0.9745863758236737,4,16,euclidean,stratified,0.8141025641025641,0.8127498164613752,0.8141025641025641,0.8133885896289222,0.023
random,130,0.9888198242940466,4,12,euclidean,stratified,0.8141025641025641,0.8155445089999526,0.8141025641025641,0.8147866127135368,0.019
random,56,0.9113719966212924,3,13,manhattan,oob,0.8205128205128205,0.8201649097171486,0.8205128205128205,0.799705334987593,0.015
random,55,0.9,4,13,euclidean,bootstrap,0.8269230769230769,0.8204068658614113,0.8269230769230769,0.8216336854634727,0.02
random,56,0.9,4,12,euclidean,stratified,0.8012820512820513,0.806121506121506,0.8012820512820513,0.8033834364868847,0.012
random,55,0.9,4,15,euclidean,smote,0.5769230769230769,0.8202902757619739,0.5769230769230769,0.5858475736524518,0.023
random,56,0.9411417805075974,4,13,euclidean,bootstrap,0.8269230769230769,0.8204068658614113,0.8269230769230769,0.8216336854634727,0.015
random,55,0.9,5,12,euclidean,bootstrap,0.8012820512820513,0.7899357317961969,0.8012820512820513,0.7858155442696506,0.019
random,55,0.9,3,14,euclidean,stratified,0.8205128205128205,0.812306141439206,0.8205128205128205,0.8121560474501651,0.019
random,57,0.9,4,13,euclidean,bootstrap,0.8269230769230769,0.8204068658614113,0.8269230769230769,0.8216336854634727,0.021
random,56,0.9,4,13,manhattan,stratified,0.782051282051282,0.7693858560794045,0.782051282051282,0.7719037719037719,0.019
random,57,0.9,3,13,euclidean,bootstrap,0.8269230769230769,0.8234292425132121,0.8269230769230769,0.8109702664073666,0.025
random,57,0.9,4,12,euclidean,oob,0.7884615384615384,0.7900881789542007,0.7884615384615384,0.789239938605059,0.019
pca,57,0.99,3,14,euclidean,bootstrap,0.8141025641025641,0.8103221564760026,0.8141025641025641,0.8118671452004785,0.024
random,59,0.9,3,13,euclidean,bootstrap,0.8397435897435898,0.8440038222646918,0.8397435897435898,0.8224852071005918,0.018
random,58,0.9,3,14,euclidean,oob,0.8269230769230769,0.8383078696178965,0.8269230769230769,0.8022236401179644,0.018
random,59,0.9,4,14,euclidean,bootstrap,0.7564102564102564,0.7641532380662814,0.7564102564102564,0.7597714785214785,0.016
random,58,0.9,3,12,euclidean,bootstrap,0.8269230769230769,0.8199314939743937,0.8269230769230769,0.8157460562930728,0.018
random,58,0.9,3,13,euclidean,stratified,0.8141025641025641,0.8133903133903134,0.8141025641025641,0.7909587066213573,0.018
random,58,0.99,3,13,manhattan,bootstrap,0.8012820512820513,0.7899357317961969,0.8012820512820513,0.7858155442696506,0.013
random,60,0.9,3,13,euclidean,bootstrap,0.8205128205128205,0.8165792540792541,0.8205128205128205,0.8026039001648758,0.016
random,59,0.9,4,12,euclidean,bootstrap,0.8333333333333334,0.8310344827586207,0.8333333333333334,0.8320254506892895,0.013
pca,59,0.99,4,12,euclidean,stratified,0.7948717948717948,0.8095791001451379,0.7948717948717948,0.8000608087564609,0.013
random,59,0.9,3,12,euclidean,oob,0.8333333333333334,0.828125,0.8333333333333334,0.8214876033057851,0.007
random,59,0.9,3,11,euclidean,oob,0.8076923076923077,0.7998251748251749,0.8076923076923077,0.7885041787480811,0.01
random,60,0.9,5,11,euclidean,oob,0.8012820512820513,0.7951566951566952,0.8012820512820513,0.7765420656986921,0.007
random,129,0.9731541167676958,4,15,euclidean,stratified,0.8141025641025641,0.8186879186879187,0.8141025641025641,0.816068376068376,0.003
random,61,0.9,3,12,euclidean,smote,0.6538461538461539,0.8040415466886055,0.6538461538461539,0.6713440405748098,0.018
random,58,0.99,3,12,euclidean,oob,0.8205128205128205,0.8122100122100122,0.8205128205128205,0.810042735042735,0.014
random,128,0.9130036935924701,4,13,manhattan,stratified,0.8461538461538461,0.8408129960685409,0.8461538461538461,0.8406642420915392,0.01
random,128,0.9741073714050866,5,13,manhattan,stratified,0.7884615384615384,0.7742993440667859,0.7884615384615384,0.7719971922870473,0.016
random,129,0.9,3,13,euclidean,stratified,0.8333333333333334,0.8269045323047252,0.8333333333333334,0.827386262265834,0.034
random,128,0.9,3,13,manhattan,stratified,0.8269230769230769,0.8212085072550189,0.8269230769230769,0.813452248234857,0.005
random,127,0.9,4,13,euclidean,stratified,0.7756410256410257,0.780988680988681,0.7756410256410257,0.7780135573239022,0.005
random,129,0.9,3,13,cosine,stratified,0.8141025641025641,0.8055721195256079,0.8141025641025641,0.7996338962522538,0.02
random,129,0.9120388299197703,3,14,manhattan,bootstrap,0.8141025641025641,0.8055318665074762,0.8141025641025641,0.8064784160986693,0.0
random,129,0.9,3,12,manhattan,bootstrap,0.8333333333333334,0.8277777777777777,0.8333333333333334,0.8290598290598289,0.016
pca,128,0.99,3,12,manhattan,stratified,0.8269230769230769,0.8199314939743937,0.8269230769230769,0.8157460562930728,0.009
random,128,0.9,4,12,manhattan,stratified,0.8012820512820513,0.8028163439770767,0.8012820512820513,0.802013275659298,0.006
pca,130,0.9898281710885535,3,13,euclidean,bootstrap,0.8525641025641025,0.8485385838327014,0.8525641025641025,0.8494803398372692,0.007
random,130,0.9,3,12,euclidean,stratified,0.8205128205128205,0.8128004807692307,0.8205128205128205,0.8077558804831533,0.024
pca,130,0.99,3,14,euclidean,stratified,0.8397435897435898,0.8351211586505705,0.8397435897435898,0.8363916737361623,0.014
random,130,0.99,4,13,euclidean,bootstrap,0.8269230769230769,0.8256709356391223,0.8269230769230769,0.8262583420683066,0.009
pca,130,0.99,3,13,manhattan,bootstrap,0.8333333333333334,0.8441176470588235,0.8333333333333334,0.8110967741935484,0.022
pca,129,0.9,3,14,euclidean,bootstrap,0.8269230769230769,0.8217037334684394,0.8269230769230769,0.8233030076350553,0.014
pca,129,0.99,3,12,manhattan,oob,0.8333333333333334,0.8301775147928995,0.8333333333333334,0.8191899710703954,0.005
pca,131,0.99,3,13,euclidean,bootstrap,0.8397435897435898,0.8337313093410654,0.8397435897435898,0.8331710483609217,0.022
pca,131,0.99,3,12,euclidean,oob,0.8269230769230769,0.8282726740228284,0.8269230769230769,0.8275599497677757,0.015
pca,132,0.9,3,15,euclidean,bootstrap,0.8333333333333334,0.8269045323047252,0.8333333333333334,0.827386262265834,0.024
pca,132,0.99,3,13,euclidean,stratified,0.8205128205128205,0.8129960685409094,0.8205128205128205,0.814108282440129,0.008
pca,132,0.99,3,13,manhattan,oob,0.8141025641025641,0.8133903133903134,0.8141025641025641,0.7909587066213573,0.019
pca,130,0.99,4,12,manhattan,bootstrap,0.75,0.7558558558558559,0.75,0.7526436781609195,0.015
pca,130,0.9898281710885535,3,13,euclidean,bootstrap,0.8525641025641025
random,65,0.9052275250951379,9,21,euclidean,stratified,0.7692307692307693,0.7652243589743589,0.7692307692307693,0.7185450208706022,0.018
random,146,0.9191105199610449,7,10,manhattan,oob,0.8269230769230769,0.8268036311514573,0.8269230769230769,0.808284023668639,0.02
random,93,0.9550667605250142,4,20,euclidean,stratified,0.8397435897435898,0.8366206443129519,0.8397435897435898,0.837816504483171,0.022
random,128,0.946281099457225,5,19,euclidean,stratified,0.8269230769230769,0.8268036311514573,0.8269230769230769,0.808284023668639,0.034
random,56,0.9869068829767104,3,13,manhattan,oob,0.8012820512820513,0.7951566951566952,0.8012820512820513,0.7765420656986921,0.022
random,94,0.9445659219100143,5,23,manhattan,stratified,0.8269230769230769,0.8383078696178965,0.8269230769230769,0.8022236401179644,0.021
random,81,0.9492039251408951,9,23,euclidean,bootstrap,0.782051282051282,0.7760989010989011,0.782051282051282,0.744355562981683,0.034
random,139,0.9829686811520805,9,28,euclidean,bootstrap,0.7884615384615384,0.7769230769230769,0.7884615384615384,0.7621254247760272,0.012
random,88,0.9745863758236737,4,16,euclidean,stratified,0.7948717948717948,0.8016418364244452,0.7948717948717948,0.7977022977022977,0.02
random,130,0.9888198242940466,4,12,euclidean,stratified,0.782051282051282,0.7930911680911681,0.782051282051282,0.7863709863709863,0.018
random,95,0.9510025677019031,3,21,euclidean,bootstrap,0.8269230769230769,0.8199314939743937,0.8269230769230769,0.8157460562930728,0.039
random,94,0.9227406494983001,7,20,euclidean,stratified,0.7948717948717948,0.7822485207100592,0.7948717948717948,0.7774645797789481,0.015
random,93,0.98376867642992,3,22,euclidean,bootstrap,0.8525641025641025,0.8485062034739453,0.8525641025641025,0.8448487948115391,0.044
pca,90,0.9,3,23,euclidean,stratified,0.8397435897435898,0.8351211586505705,0.8397435897435898,0.8363916737361623,0.023
